freq,num_nodes,starttimestamp,stoptimestamp
0,0,"2025-06-20 09:15:37","2025-06-20 09:15:48"
0,0,"2025-06-20 09:25:40","2025-06-20 09:25:51"
10,0,"2025-06-20 09:26:02","2025-06-20 09:26:13"
20,0,"2025-06-20 09:26:24","2025-06-20 09:26:35"
30,0,"2025-06-20 09:26:46","2025-06-20 09:26:57"
40,0,"2025-06-20 09:27:08","2025-06-20 09:27:19"
50,0,"2025-06-20 09:27:30","2025-06-20 09:27:41"
60,0,"2025-06-20 09:27:52","2025-06-20 09:28:03"
70,0,"2025-06-20 09:28:14","2025-06-20 09:28:25"
80,0,"2025-06-20 09:28:36","2025-06-20 09:28:47"
90,0,"2025-06-20 09:28:58","2025-06-20 09:29:09"
100,0,"2025-06-20 09:29:20","2025-06-20 09:29:31"
0,5,"2025-06-20 09:29:42","2025-06-20 09:29:54"
10,5,"2025-06-20 09:30:05","2025-06-20 09:30:17"
20,5,"2025-06-20 09:30:28","2025-06-20 09:30:40"
30,5,"2025-06-20 09:30:51","2025-06-20 09:31:03"
40,5,"2025-06-20 09:31:14","2025-06-20 09:31:26"
50,5,"2025-06-20 09:31:37","2025-06-20 09:31:50"
60,5,"2025-06-20 09:32:01","2025-06-20 09:32:13"
70,5,"2025-06-20 09:32:24","2025-06-20 09:32:36"
80,5,"2025-06-20 09:32:47","2025-06-20 09:32:59"
90,5,"2025-06-20 09:33:10","2025-06-20 09:33:22"
0,0,"2025-06-20 09:34:41","2025-06-20 09:34:52"
10,0,"2025-06-20 09:35:04","2025-06-20 09:35:15"
20,0,"2025-06-20 09:35:26","2025-06-20 09:35:37"
30,0,"2025-06-20 09:35:48","2025-06-20 09:35:59"
40,0,"2025-06-20 09:36:10","2025-06-20 09:36:21"
50,0,"2025-06-20 09:36:32","2025-06-20 09:36:43"
60,0,"2025-06-20 09:36:54","2025-06-20 09:37:05"
70,0,"2025-06-20 09:37:16","2025-06-20 09:37:27"
80,0,"2025-06-20 09:37:38","2025-06-20 09:37:49"
